"x"
"CCDC92|80212"
"MTG1|92170"
"ARTN|9048"
"MED26|9441"
"PFDN2|5202"
"BAHD1|22893"
"PTPN20B|26095"
"C8orf51|78998"
"C20orf7|79133"
"AMZ1|155185"
"LOC100009676|100009676"
"CLEC2L|154790"
"BCHE|590"
"GCNT4|51301"
"COPS8|10920"
"KIAA1161|57462"
"ZNF253|56242"
"ZFP41|286128"
"NMT1|4836"
"ETF1|2107"
"ATF6|22926"
"ARHGEF33|100271715"
"TBC1D8|11138"
"KLF3|51274"
"MRPL46|26589"
"SH3PXD2B|285590"
"EMX1|2016"
"SPI1|6688"
"ALG10B|144245"
"PPIG|9360"
"CTSD|1509"
"LILRA5|353514"
"CCDC86|79080"
"AHR|196"
"PARM1|25849"
"AIFM1|9131"
"SH3GL1|6455"
"SCGB1A1|7356"
"GPR158|57512"
"TM4SF1|4071"
"PCDHB3|56132"
"GYG2|8908"
"NDUFC2|4718"
"PIK3CG|5294"
"PGRMC1|10857"
"VWCE|220001"
"SEC22C|9117"
"EXOSC7|23016"
"LOC100289341|100289341"
"GBP6|163351"
"PTDSS2|81490"
"MEG3|55384"
"TBC1D20|128637"
"CACNB4|785"
"LYPD6|130574"
"SH2D3C|10044"
"PTENP1|11191"
"KATNA1|11104"
"TAF15|8148"
"SOCS6|9306"
"RANGRF|29098"
"CLDND1|56650"
"NSUN6|221078"
"PDK2|5164"
"ESM1|11082"
"TRNAU1AP|54952"
"RBM14|10432"
"KDM4A|9682"
"NR3C2|4306"
"MRPL33|9553"
"MRAS|22808"
"HSPA9|3313"
"H2AFV|94239"
"RRP12|23223"
"KLHL13|90293"
"FAM118A|55007"
"PAQR6|79957"
"PDP1|54704"
"IFNAR1|3454"
"ARID2|196528"
"CDK1|983"
"C14orf4|64207"
"IL20RB|53833"
"DDX19A|55308"
"DDI2|84301"
"HSDL1|83693"
"GEMIN8|54960"
"MTCP1|4515"
"CBY1|25776"
"SPESP1|246777"
"GHITM|27069"
"CD247|919"
"CCDC138|165055"
"TLR3|7098"
"PSMD4|5710"
"DEDD|9191"
"ALG3|10195"
"WHAMML2|440253"
"CETP|1071"
"KIF4A|24137"
"TPI1|7167"
"SAMD5|389432"
"ANTXR1|84168"
"DLX6AS|285987"
"CYP2C9|1559"
"SPIN1|10927"
"KIAA1274|27143"
"FXYD1|5348"
"CCNA1|8900"
"CENPT|80152"
"PRPF8|10594"
"ZFYVE19|84936"
"PRSS3|5646"
"PPP1R13L|10848"
"PKP3|11187"
"SRRM3|222183"
"BTBD3|22903"
"EFNA4|1945"
"FAM89A|375061"
"TBC1D9B|23061"
"SRPK1|6732"
"GPLD1|2822"
"EBI3|10148"
"AIF1L|83543"
"JAZF1|221895"
"VAMP8|8673"
"RECQL5|9400"
"ZCCHC10|54819"
"TBL1X|6907"
"ZNF333|84449"
"SCAMP4|113178"
"RANBP6|26953"
"BTLA|151888"
"ZNF76|7629"
"SH3YL1|26751"
"RPS16|6217"
"ZNF799|90576"
"YIPF4|84272"
"FOXH1|8928"
"ZMYM6|9204"
"DNAJC2|27000"
"ACTR10|55860"
"USP40|55230"
"GDF6|392255"
"JMY|133746"
"DSCR3|10311"
"PBLD|64081"
"ETV3|2117"
"C17orf87|388325"
"FOXA2|3170"
"SLC7A11|23657"
"GTPBP1|9567"
"SYT14|255928"
"MUC16|94025"
"CDC27|996"
"CYP3A5|1577"
"MGC45800|90768"
"BRD1|23774"
"COMMD1|150684"
"LIPE|3991"
"DCAF7|10238"
"MCL1|4170"
"TRIM56|81844"
"ITGA7|3679"
"ZFYVE9|9372"
"WDR4|10785"
"SAGE1|55511"
"HYAL2|8692"
"C12orf23|90488"
"C21orf122|728039"
"CENPF|1063"
"ZBTB42|100128927"
"SP140|11262"
"SLC35F2|54733"
"ISLR|3671"
"ZNF69|7620"
"ICOS|29851"
"RARRES2|5919"
"MYB|4602"
"GLO1|2739"
"SULT4A1|25830"
"PRKAG1|5571"
"SLC9A3R1|9368"
"RPS29|6235"
"KIF17|57576"
"IRF1|3659"
"TCEAL4|79921"
"NPR1|4881"
"FAM195B|348262"
"CNRIP1|25927"
"C20orf135|140701"
"DDX59|83479"
"MXRA8|54587"
"CMPK1|51727"
"KCTD1|284252"
"FBXW2|26190"
"DDX11|1663"
"PCMT1|5110"
"ARHGAP10|79658"
"ARMCX6|54470"
"SERPINB7|8710"
"CCDC109B|55013"
"IKBKB|3551"
"PARVG|64098"
"UBE2Q2|92912"
"FCGR1C|100132417"
"GANAB|23193"
"NDUFB9|4715"
"RPLP0|6175"
"DRAM2|128338"
"RAD54B|25788"
"IMPAD1|54928"
"AIF1|199"
"DDHD2|23259"
"DULLARD|23399"
"THAP5|168451"
"PLEK|5341"
"CWC15|51503"
"DKK1|22943"
"WDFY4|57705"
"LOC143666|143666"
"CLN3|1201"
"C4orf32|132720"
"SORCS2|57537"
"PINX1|54984"
"PTPN1|5770"
"ZBED3|84327"
"RHEB|6009"
"ACOX1|51"
"PAQR7|164091"
"SDS|10993"
"XPC|7508"
"NBAS|51594"
"GFOD2|81577"
"RAP2B|5912"
"HLA-DOB|3112"
"ARIH1|25820"
"BCR|613"
"RAC3|5881"
"C19orf50|79036"
"NCOA5|57727"
"DOK1|1796"
"PLA2G6|8398"
"HOXA3|3200"
"RIMS4|140730"
"RCAN2|10231"
"CTTNBP2NL|55917"
"UBE2MP1|606551"
"PNMAL2|57469"
"ZCWPW1|55063"
"RSAD2|91543"
"RIN2|54453"
"MSH3|4437"
"GUK1|2987"
"GORASP1|64689"
"CAPN6|827"
"TSEN54|283989"
"ARHGEF1|9138"
"ACOT8|10005"
"TMEM37|140738"
"RAD54L|8438"
"PRKACA|5566"
"DNAH5|1767"
"GAS2L1|10634"
"PCDHGB7|56099"
"RILPL1|353116"
"CCDC157|550631"
"TPST1|8460"
"TMEM119|338773"
"ANXA7|310"
"MTDH|92140"
"KIAA0415|9907"
"C12orf34|84915"
"PRDM15|63977"
"NPNT|255743"
"SLC15A1|6564"
"TRAPPC4|51399"
"TNFRSF9|3604"
"C6orf223|221416"
"XPR1|9213"
"GRK6|2870"
"SHF|90525"
"DUSP10|11221"
"HMGXB4|10042"
"CDYL2|124359"
"VPS29|51699"
"PDZD11|51248"
"ITGA6|3655"
"SERTAD1|29950"
"PPPDE2|27351"
"ZFPL1|7542"
"DET1|55070"
"RNF135|84282"
"ORMDL3|94103"
"MPZL1|9019"
"SERTAD3|29946"
"FEZ1|9638"
"DDX11L2|84771"
"MTERFD1|51001"
"EIF4E2|9470"
"CYBASC3|220002"
"C17orf100|388327"
"TTK|7272"
"MRPL32|64983"
"MED11|400569"
"ZNF300|91975"
"AGA|175"
"B3GALT5|10317"
"ZNF808|388558"
"FCGR2C|9103"
"OAZ1|4946"
"RNF222|643904"
"ZNF17|7565"
"ZDHHC9|51114"
"ADAM6|8755"
"NDOR1|27158"
"SLC1A3|6507"
"APC2|10297"
"MYEOV2|150678"
"LDB3|11155"
"C9orf142|286257"
"CPT1B|1375"
"TMEM191A|84222"
"GPR64|10149"
"ZSWIM6|57688"
"SPERT|220082"
"PPM1G|5496"
"ARL6IP6|151188"
"C18orf1|753"
"CIB1|10519"
"GPC6|10082"
"TRAPPC6A|79090"
"NIPBL|25836"
"MSR1|4481"
"BRP44|25874"
"SERPINE1|5054"
"RHOH|399"
"TRAF7|84231"
"TMEM140|55281"
"ITGB1|3688"
"CUTA|51596"
"ENTPD6|955"
"UFSP1|402682"
"PRMT1|3276"
"TMEM69|51249"
"TCEAL3|85012"
"ACTN2|88"
"C13orf37|440145"
"EPR1|8475"
"ZNF501|115560"
"TTN|7273"
"NUDT1|4521"
"AARS|16"
"DDB1|1642"
"CEACAM21|90273"
"UFC1|51506"
"IMPDH1|3614"
"DSTN|11034"
"BAIAP3|8938"
"TMEM48|55706"
"SNRPD3|6634"
"SCARB1|949"
"ITGA1|3672"
"ST3GAL5|8869"
"RNF11|26994"
"CHAC2|494143"
"PRSS16|10279"
"PGD|5226"
"SLC30A4|7782"
"CDIPT|10423"
"SSTR2|6752"
"CREB3L1|90993"
"LRRC25|126364"
"NEURL4|84461"
"EDEM1|9695"
"ALMS1|7840"
"GPR183|1880"
"POLR3D|661"
"SLC35E4|339665"
"KIAA0391|9692"
"HYDIN|54768"
"GABRQ|55879"
"SP5|389058"
"ZNF568|374900"
"UCP2|7351"
"NIN|51199"
"TXNDC17|84817"
"TNFSF4|7292"
"LOC222699|222699"
"CEPT1|10390"
"TTC19|54902"
"TP53BP2|7159"
"FAM91A1|157769"
"HLA-DRA|3122"
"RACGAP1|29127"
"ZNF277|11179"
"CSF1|1435"
"HSDL2|84263"
"F10|2159"
"GPSM3|63940"
"RASSF8|11228"
"TMEM52|339456"
"PPP1R12C|54776"
"APIP|51074"
"CUEDC2|79004"
"SUCLG2|8801"
"MATN2|4147"
"CEACAM5|1048"
"FAM115A|9747"
"FAM172A|83989"
"HOXC4|3221"
"RANBP1|5902"
"C17orf60|284021"
"ZZEF1|23140"
"WDR35|57539"
"ZBTB24|9841"
"TMEM168|64418"
"PCID2|55795"
"ZNF440|126070"
"SS18L1|26039"
"HNRPDL|9987"
"ABCB9|23457"
"CLINT1|9685"
"CSPG5|10675"
"TRIM17|51127"
"AP1G2|8906"
"EARS2|124454"
"FAM54B|56181"
"SLC12A6|9990"
"LOC595101|595101"
"C8orf42|157695"
"CKAP4|10970"
"DLGAP1|9229"
"NLGN1|22871"
"C20orf27|54976"
"GNG10|2790"
"IFRD1|3475"
"DIP2B|57609"
"MRPL20|55052"
"ZGPAT|84619"
"SPATA7|55812"
"C17orf70|80233"
"FAM40A|85369"
"PP14571|100130449"
"AGPAT6|137964"
"RPL26L1|51121"
"SGTA|6449"
"CCDC96|257236"
"EXOC1|55763"
"ATP8A2|51761"
"LIN37|55957"
"PTRH1|138428"
"METTL2A|339175"
"NUDT16|131870"
"TESK2|10420"
"GPX8|493869"
"DCK|1633"
"BTN2A1|11120"
"NUP107|57122"
"HDAC9|9734"
"NKAIN2|154215"
"GIYD2|79008"
"INPP5K|51763"
"ATPIF1|93974"
"ARL8B|55207"
"DLG3|1741"
"ACSBG1|23205"
"ETNK1|55500"
"RAB42|115273"
"SMPDL3B|27293"
"TGFBI|7045"
"C8orf79|57604"
"ABCC3|8714"
"C16orf75|116028"
"CHCHD7|79145"
"LILRB3|11025"
"CD163|9332"
"DRG2|1819"
"DOK3|79930"
"RPS27|6232"
"KDM2B|84678"
"TRPT1|83707"
"AKAP5|9495"
"FAM3A|60343"
"EIF4G3|8672"
"WNT2B|7482"
"STOML1|9399"
"TRIP6|7205"
"DDX49|54555"
"PPA1|5464"
"TBCA|6902"
"SH3RF3|344558"
"ELK4|2005"
"CAV2|858"
"HIST1H4J|8363"
"ATP6V1E1|529"
"SLC30A7|148867"
"CGB7|94027"
"PPP2R1A|5518"
"YWHAE|7531"
"SNTB1|6641"
"BTN3A1|11119"
"LRRC37B|114659"
"LOC100130015|100130015"
"BMP2K|55589"
"KANK3|256949"
"C18orf8|29919"
"C6orf106|64771"
"CCR6|1235"
"MGC12916|84815"
"CREM|1390"
"IGF2BP3|10643"
"KIF21A|55605"
"ZNF528|84436"
"IRF4|3662"
"DYNLT1|6993"
"PAK1IP1|55003"
"LOC728758|728758"
"CCDC56|28958"
"NME6|10201"
"POU6F2|11281"
"BRPF1|7862"
"ASCC1|51008"
"CCDC11|220136"
"PPRC1|23082"
"MUC5B|727897"
"PSRC1|84722"
"HMCN1|83872"
"LOC284232|284232"
"TRIB3|57761"
"KSR1|8844"
"NCRNA00183|554203"
"PRSS53|339105"
"GYS1|2997"
"C21orf45|54069"
"NUMA1|4926"
"ZNF133|7692"
"RPL22L1|200916"
"SELPLG|6404"
"MAPK10|5602"
"PREPL|9581"
"AASDH|132949"
"ANGEL1|23357"
"UNC119|9094"
"C22orf29|79680"
"OS9|10956"
"SPTLC2|9517"
"FNIP2|57600"
"NXF1|10482"
"MCF2L2|23101"
"SYNGAP1|8831"
"LOC100170939|100170939"
"DYNC1LI2|1783"
"ITGB7|3695"
"HIST1H2AC|8334"
"RAB17|64284"
"C5orf44|80006"
"TSPAN17|26262"
"DUSP23|54935"
"SLC2A4|6517"
"IRF2BP1|26145"
"HEATR2|54919"
"AKAP11|11215"
"INTS2|57508"
"MTERF|7978"
"STAU1|6780"
"KIAA1199|57214"
"MDM2|4193"
"ITPRIP|85450"
"TLR5|7100"
"ZNF559|84527"
"IFI27L2|83982"
"CPEB4|80315"
"POLR3C|10623"
"L1CAM|3897"
"RFNG|5986"
"FAM128B|80097"
"DUT|1854"
"HIVEP2|3097"
"VPS53|55275"
"LOC654342|654342"
"KIAA1468|57614"
"NFKBIL2|4796"
"IP6K3|117283"
"CKAP2L|150468"
"CCDC104|112942"
"CYP2W1|54905"
"MATN3|4148"
"CELSR2|1952"
"CXorf23|256643"
"UBTD1|80019"
"MT1X|4501"
"ZSCAN16|80345"
"PRKCE|5581"
"EML3|256364"
"SLC9A2|6549"
"CSTA|1475"
"ELFN2|114794"
"KLK14|43847"
"ZNF516|9658"
"PARS2|25973"
"PUS7L|83448"
"PPAPDC1A|196051"
"ANKRD13D|338692"
"GALNT5|11227"
"SCN9A|6335"
"KIAA0947|23379"
"EIF5AL1|143244"
"DIRC2|84925"
"CDYL|9425"
"HSFX2|100130086"
"SLC35A4|113829"
"CAMK2G|818"
"MMADHC|27249"
"PAR-SN|347746"
"CHRDL1|91851"
"HOXA10|3206"
"PTPMT1|114971"
"LOC441089|441089"
"UTP20|27340"
"FAM84B|157638"
"SEPT5|5413"
"NEK11|79858"
"PHF23|79142"
"ARHGEF17|9828"
"PRND|23627"
"NCRNA00115|79854"
"C1orf51|148523"
"MCOLN1|57192"
"C17orf48|56985"
"ADAMTSL3|57188"
"WIPI1|55062"
"MUC2|4583"
"UBE2W|55284"
"IGFBP7|3490"
"USHBP1|83878"
"RASA1|5921"
"KPTN|11133"
"SERPINA3|12"
"SMPD2|6610"
"DLG1|1739"
"NOXA1|10811"
"C19orf20|91978"
"GK3P|2713"
"DYX1C1|161582"
"ARSK|153642"
"PDK3|5165"
"C11orf46|120534"
"CMTM3|123920"
"HLA-DRB5|3127"
"HIST2H2AA3|8337"
"SMARCC2|6601"
"ARC|23237"
"VTI1A|143187"
"SNX9|51429"
"ZNF628|89887"
"BMX|660"
"SAMD4B|55095"
"SGEF|26084"
"MGC16121|84848"
"ZNF354A|6940"
"SERINC5|256987"
"C6orf115|58527"
"TMEM176B|28959"
"CREB3L4|148327"
"FERMT2|10979"
"ANKRD32|84250"
"KCNMB1|3779"
"IFT57|55081"
"FADS3|3995"
"CTXN1|404217"
"FGF14|2259"
"C19orf21|126353"
"COL29A1|256076"
"ARAP3|64411"
"GATA4|2626"
"C10orf118|55088"
"MAGT1|84061"
"GAS5|60674"
"KIAA0100|9703"
"UGT1A6|54578"
"RAB8A|4218"
"NCLN|56926"
"HOXC6|3223"
"HSD17B8|7923"
"FZD3|7976"
"DCP1A|55802"
"ZFP90|146198"
"TRMT11|60487"
"ZNF223|7766"
"NPHP1|4867"
"FRAS1|80144"
"C1orf91|56063"
"MRPL14|64928"
"PPCS|79717"
"SHC2|25759"
"ALDH9A1|223"
"PWP1|11137"
"B4GALT1|2683"
"SLC23A3|151295"
"MGEA5|10724"
"DDX46|9879"
"FAM128A|653784"
"IFITM1|8519"
"CACNB2|783"
"RBM25|58517"
"WNT16|51384"
"ANGPTL1|9068"
"PCDHGB2|56103"
"SEPT2|4735"
"KLHL11|55175"
"TSKS|60385"
"LHFP|10186"
"ZNF391|346157"
"TRIM44|54765"
"KIAA1377|57562"
"NLGN4X|57502"
"C5orf30|90355"
"URM1|81605"
"CHD8|57680"
"TYW1|55253"
"GFM2|84340"
"ZFHX4|79776"
"ATP1A2|477"
"COX8A|1351"
"YEATS4|8089"
"CD4|920"
"FJX1|24147"
"UPK3B|80761"
"STOM|2040"
"CCNG1|900"
"RASAL3|64926"
"ZNF23|7571"
"TGFB1I1|7041"
"RPS3|6188"
"CEBPG|1054"
"IMPACT|55364"
"FAS|355"
"GBA2|57704"
"LRPPRC|10128"
"MID1IP1|58526"
"METAP2|10988"
"FAM53B|9679"
"WWP1|11059"
"RAPGEF4|11069"
"TBP|6908"
"ATP5S|27109"
"H6PD|9563"
"XRCC5|7520"
"CCDC93|54520"
"TRIM16L|147166"
"C5orf20|140947"
"RNF25|64320"
"HSPA4L|22824"
"NAP1L3|4675"
"PDE5A|8654"
"VAT1|10493"
"RSPH3|83861"
"RAP2C|57826"
"KPNA7|402569"
"PPL|5493"
"C5orf55|116349"
"METT5D1|196074"
"UBE2D2|7322"
"TMEM97|27346"
"MLLT4|4301"
"SNHG9|735301"
"AMPD2|271"
"C10orf57|80195"
"MAPK7|5598"
"CDC73|79577"
"GALM|130589"
"ZNF184|7738"
"SELO|83642"
"SLC25A39|51629"
"C1orf54|79630"
"VRK3|51231"
"SPPL3|121665"
"NDUFB7|4713"
"PRRG1|5638"
"HDGFRP3|50810"
"ICA1|3382"
"THOC3|84321"
"ANKS3|124401"
"NPRL2|10641"
"PRPS1|5631"
"VWDE|221806"
"EDNRB|1910"
"FIBIN|387758"
"SHROOM3|57619"
"AMOTL1|154810"
"EFNB1|1947"
"TTYH1|57348"
"B3GNT2|10678"
"PIF1|80119"
"PPP2R2B|5521"
"ZNF540|163255"
"CYB561|1534"
"LIMD2|80774"
"IPW|3653"
"C12orf45|121053"
"ZNF138|7697"
"SDR9C7|121214"
"KIAA0831|22863"
"DNAJC9|23234"
"ERGIC2|51290"
"KIF26A|26153"
"CNDP2|55748"
"CPNE2|221184"
"CRTAM|56253"
"SLC38A9|153129"
"STARD8|9754"
"RNLS|55328"
"TAPBP|6892"
"SLC5A5|6528"
"ZMYND17|118490"
"C1orf26|54823"
"ITGA9|3680"
"MGC72080|389538"
"UBE2I|7329"
"DFNB31|25861"
"CASS4|57091"
"PANK4|55229"
"ACSS1|84532"
"DUSP18|150290"
"ESR2|2100"
"ACVR1B|91"
"CYP2D7P1|1564"
"SF3B4|10262"
"ESRP1|54845"
"LNX2|222484"
"ZNF655|79027"
"ATR|545"
"MESP2|145873"
"FUS|2521"
"SIRT6|51548"
"ALPP|250"
"CHCHD3|54927"
"ZNF142|7701"
"JKAMP|51528"
"FOXRED1|55572"
"CD244|51744"
"RGS17|26575"
"PHACTR2|9749"
"CCND3|896"
"PERP|64065"
"C18orf21|83608"
"C6orf141|135398"
"HMOX1|3162"
"KIAA0020|9933"
"LMLN|89782"
"RECQL4|9401"
"FRMPD1|22844"
"PSMD10|5716"
"LOC149837|149837"
"ZNF485|220992"
"WDYHV1|55093"
"AKR1B15|441282"
"GPR172B|55065"
"CD1E|913"
"PTPN21|11099"
"TCTN1|79600"
"ZFAT|57623"
"LOC653113|653113"
"RFFL|117584"
"HOXD8|3234"
"FXYD3|5349"
"CLDN8|9073"
"ZNF691|51058"
"WDR36|134430"
"DPP3|10072"
"MYO1C|4641"
"PCYT2|5833"
"SH3BGRL2|83699"
"ZNF335|63925"
"PECI|10455"
"FRAT2|23401"
"ZNFX1|57169"
"MPHOSPH8|54737"
"CYB561D2|11068"
"CYB5R1|51706"
"HEPH|9843"
"ZFAND6|54469"
"MUT|4594"
"VPS37D|155382"
"ZNF121|7675"
"MYL12A|10627"
"SLC22A17|51310"
"NTNG2|84628"
"TMEM38B|55151"
"SYTL4|94121"
"SLC16A14|151473"
"H2AFJ|55766"
"PSORS1C1|170679"
"BAZ1A|11177"
"ITGB1BP1|9270"
"COPB1|1315"
"PPP2CB|5516"
"U2AF2|11338"
"ZSWIM4|65249"
"ESF1|51575"
"MRPL16|54948"
"ZNF510|22869"
"ZIC1|7545"
"ANUBL1|93550"
"RABEPK|10244"
"NAA20|51126"
"SRGAP3|9901"
"FAM13A|10144"
"GTF2I|2969"
"PRAM1|84106"
"GOLGA2B|55592"
"C20orf160|140706"
"RNF43|54894"
"SFN|2810"
"DLD|1738"
"RAB11FIP1|80223"
"ADH5|128"
"KLHL5|51088"
"IDI2|91734"
"SNIP1|79753"
"ALDH1A2|8854"
"FUT7|2529"
"PIPSL|266971"
"C4orf19|55286"
"ADCYAP1|116"
"CCNF|899"
"PDCD2|5134"
"ASAP1|50807"
"CCDC51|79714"
"NCL|4691"
"DNAJC27|51277"
"TP53I13|90313"
"TOMM6|100188893"
"TARSL2|123283"
"KIAA0664|23277"
"FAM192A|80011"
"PSMD13|5719"
"NPTN|27020"
"CSF2RA|1438"
"DHRS1|115817"
"TBX15|6913"
"TRAM2|9697"
"HPS3|84343"
"BAT5|7920"
"MAD2L1|4085"
"FAM113A|64773"
"LRRC8E|80131"
"LAG3|3902"
"UBP1|7342"
"PICK1|9463"
"ZNF215|7762"
"COX4I1|1327"
"ALS2CR4|65062"
"SLC10A6|345274"
"CMBL|134147"
"ZNF250|58500"
"PYCARD|29108"
"ITGA10|8515"
"RUNX1|861"
"C22orf40|150383"
"PLB1|151056"
"NFKBIZ|64332"
"AVPR1A|552"
"CENPH|64946"
"LRRC15|131578"
"RARS|5917"
"RPS15|6209"
"TCF15|6939"
"FLJ42709|441094"
"ANKRD6|22881"
"SPTAN1|6709"
"C10orf75|90271"
"LOC729991-MEF2B|4207"
"PLXNB1|5364"
"PIGS|94005"
"C9orf86|55684"
"CDKN2D|1032"
"PEX11A|8800"
"ZNF323|64288"
"CRY1|1407"
"PTMA|5757"
"GJA1|2697"
"CYTL1|54360"
"FADS6|283985"
"EPS8L2|64787"
"PBRM1|55193"
"STUB1|10273"
"RHBDL1|9028"
"P2RX4|5025"
"MTFMT|123263"
"MGAT4B|11282"
"MORC4|79710"
"PDCD5|9141"
"LEMD2|221496"
"LOC145783|145783"
"BLZF1|8548"
"PAPSS1|9061"
"TAP1|6890"
"IGSF8|93185"
"C12orf54|121273"
"ST8SIA1|6489"
"GP1BA|2811"
"KILLIN|100144748"
"TPM3|7170"
"NDUFA6|4700"
"KIAA1217|56243"
"SENP6|26054"
"MT1L|4500"
"INPP5F|22876"
"RASSF5|83593"
"ANXA4|307"
"IBTK|25998"
"TWIST1|7291"
"BTBD9|114781"
"CCT7|10574"
"KIF2C|11004"
"TRUB2|26995"
"KLK1|3816"
"TUSC2|11334"
"ADAM22|53616"
"MC1R|4157"
"PSG4|5672"
"GBAS|2631"
"DUSP2|1844"
"SETD2|29072"
"USP46|64854"
"LOC541471|541471"
"GTF2IRD2P1|401375"
"ARHGAP1|392"
"ACADSB|36"
"C16orf86|388284"
"CCNB1|891"
"STK32C|282974"
"B3GNT5|84002"
"MND1|84057"
"MALT1|10892"
"FLJ39653|202020"
"KIAA1908|114796"
"GNG5|2787"
"SCN5A|6331"
"FPR3|2359"
"CATSPERB|79820"
"CDR2L|30850"
"PLD2|5338"
"RND3|390"
"C9orf102|375748"
"CD22|933"
"CCNB1IP1|57820"
"ODC1|4953"
"KIAA0513|9764"
"HOXA5|3202"
"MAP3K3|4215"
"CA13|377677"
"PYGM|5837"
"SNX13|23161"
"LRRC48|83450"
"CDC25A|993"
"MTFR1|9650"
"RBM10|8241"
"INPP4A|3631"
"PTGIR|5739"
"FYN|2534"
"ADD3|120"
"KCNJ5|3762"
"PDRG1|81572"
"ARPC1B|10095"
"C21orf70|85395"
"COIL|8161"
"ROBO3|64221"
"MEGF9|1955"
"SIRT1|23411"
"PIAS1|8554"
"ZNF140|7699"
"FAM100A|124402"
"TFCP2|7024"
"BEX4|56271"
"ZNF558|148156"
"EN1|2019"
"EIF3B|8662"
"DDX5|1655"
"DSCC1|79075"
"MRRF|92399"
"C6orf89|221477"
"HSF2|3298"
"PURA|5813"
"PWP2|5822"
"GZMB|3002"
"SIAH2|6478"
"UGDH|7358"
"ACTR2|10097"
"C2orf29|55571"
"LAMB1|3912"
"VIM|7431"
"HEBP2|23593"
"C2orf34|79823"
"RAB25|57111"
"C9orf109|286333"
"NOP2|4839"
"ABCC2|1244"
"SDC3|9672"
"RNPC3|55599"
"BAT2L2|23215"
"REEP4|80346"
"TTC39C|125488"
"NCAPD2|9918"
"ROR1|4919"
"SLC35B4|84912"
"SHD|56961"
"SLC10A3|8273"
"C14orf37|145407"
"C15orf29|79768"
"KIAA1462|57608"
"ATP1A3|478"
"F3|2152"
"SNX30|401548"
"ACBD5|91452"
"TSSK3|81629"
"CSF2RB|1439"
"USP45|85015"
"ANKRD13A|88455"
"PPAPDC2|403313"
"LDHA|3939"
"FGD6|55785"
"GRIK2|2898"
"BRCC3|79184"
"KIT|3815"
"TPP2|7174"
"SUB1|10923"
"RAP1A|5906"
"DCAF8|50717"
"KLHDC5|57542"
"GUCY1A2|2977"
"PHAX|51808"
"SCYL1|57410"
"SRP19|6728"
"LRTOMT|220074"
"SCIN|85477"
"LSM14B|149986"
"DNAJC14|85406"
"ZNF833|401898"
"CHMP7|91782"
"CRELD1|78987"
"NRK|203447"
"ZNF416|55659"
"PHF8|23133"
"RIOK2|55781"
"SLC26A2|1836"
"HERC3|8916"
"DHCR7|1717"
"PSMD12|5718"
"GRIK5|2901"
"RBMS2|5939"
"TXNRD1|7296"
"SPATA6|54558"
"CHMP1A|5119"
"TFAP4|7023"
"TMEM161B|153396"
"UGP2|7360"
"FOLR2|2350"
"RASA3|22821"
"MAGEC2|51438"
"FGGY|55277"
"GNAI3|2773"
"PRPF3|9129"
"RGS4|5999"
"ADAMTS4|9507"
"C10orf72|196740"
"GATSL3|652968"
"CPA6|57094"
"PRPF40A|55660"
"LIN54|132660"
"MMS19|64210"
"GPR146|115330"
"ZNF131|7690"
"STRN4|29888"
"CFP|5199"
"PDSS2|57107"
"GCAT|23464"
"PHF7|51533"
"C1QL1|10882"
"C14orf145|145508"
"RND2|8153"
"PSMB3|5691"
"UBE2N|7334"
"NRXN2|9379"
"FCN1|2219"
"LRAT|9227"
"FOXN1|8456"
"PRRG2|5639"
"C7orf28B|221960"
"MRPL15|29088"
"GPSM2|29899"
"FAM173B|134145"
"NECAP1|25977"
"VOPP1|81552"
"LTBP3|4054"
"FLII|2314"
"NECAB1|64168"
"MSI2|124540"
"ARHGAP5|394"
"DBR1|51163"
"KCNC3|3748"
"C16orf59|80178"
"MXD1|4084"
"MYO3B|140469"
"DERL2|51009"
"MYST3|7994"
"FZD2|2535"
"RNASE4|6038"
"YTHDF3|253943"
"TSPAN1|10103"
"C13orf33|84935"
"DIS3L2|129563"
"CLK2|1196"
"SVEP1|79987"
"LRP6|4040"
"KIF5C|3800"
"ZNF396|252884"
"EXOSC4|54512"
"SYCE2|256126"
"GLTSCR2|29997"
"LOC100132288|100132288"
"CD3E|916"
"LOC100271722|100271722"
"TNRC6A|27327"
"GPR114|221188"
"ZNF460|10794"
"CRTAP|10491"
"ANKS6|203286"
"VAV2|7410"
"MIR17HG|407975"
"MRM1|79922"
"E2F8|79733"
"FADD|8772"
"WNT3A|89780"
"ENSA|2029"
"PARL|55486"
"CHCHD8|51287"
"ECSCR|641700"
"HIC2|23119"
"COBLL1|22837"
"ASNA1|439"
"PARD6B|84612"
"ZNF514|84874"
"CD5|921"
"ZNF18|7566"
"TBX18|9096"
"HOXD1|3231"
"ARL4C|10123"
"GMIP|51291"
"SEMA3B|7869"
"C10orf82|143379"
"C1orf156|92342"
"MICB|4277"
"ADAT2|134637"
"STX5|6811"
"SELM|140606"
"TIE1|7075"
"NOTCH4|4855"
"ASB8|140461"
"ENGASE|64772"
"LGALS9|3965"
"KCNF1|3754"
"ZNF837|116412"
"BRCA2|675"
"NSUN3|63899"
"RPL13|6137"
"PCDHGA12|26025"
"MGAT3|4248"
"GSPT1|2935"
"LOC284837|284837"
"LRRN2|10446"
"YIPF5|81555"
"RPAP1|26015"
"SLC24A6|80024"
"KRT79|338785"
"ZNF664|144348"
"TTC17|55761"
"AGTR1|185"
